
1546013432.399291731, exp1 d mode
1546013432.402557345, face tracking, on
1546013434.405802488, reeti turn to, 0
1546013434.405837943, 1, v
1546013436.127841408, user press, v
1546013437.696305433, Reeti standby
1546013438.043715337, exp1 d mode
1546013438.052206613, face tracking, on
1546013440.055634957, reeti turn to, 1
1546013440.055669742, 1, u
1546013441.844806778, user press, u
1546013443.584599668, Reeti standby
1546013443.925720973, exp1 d mode
1546013443.928834727, face tracking, on
1546013445.931641682, reeti turn to, 1
1546013445.931739795, 1, u
1546013447.563687604, user press, u
1546013448.829584872, Reeti standby
1546013449.127002938, exp1 d mode
1546013449.130168559, face tracking, on
1546013451.134205492, reeti turn to, 0
1546013451.134297215, 0, v
1546013452.924053706, user press, v
1546013454.293461738, Reeti standby
1546013454.557890178, exp1 d mode
1546013454.560892217, face tracking, on
1546013456.564251365, reeti turn to, 1
1546013456.564339412, 1, v
1546013458.371535231, user press, v
1546013459.882692568, Reeti standby
1546013460.087257122, exp1 d mode
1546013460.090255783, face tracking, on
1546013462.093735694, reeti turn to, 1
1546013462.093824207, 0, u
1546013463.791025059, user press, u
1546013465.402687609, Reeti standby
1546013465.689876703, exp1 d mode
1546013465.693299352, face tracking, on
1546013467.696533017, reeti turn to, 0
1546013467.696581122, 1, u
1546013469.443784922, user press, u
1546013471.074562126, Reeti takes a break
1546013481.882552958, Reeti standby
1546013483.658593261, exp1 d mode
1546013483.661469188, face tracking, on
1546013485.664638610, reeti turn to, 0
1546013485.664685209, 0, v
1546013487.396129022, user press, v
1546013488.982294210, Reeti standby
1546013489.318983007, exp1 d mode
1546013489.322161375, face tracking, on
1546013491.324816197, reeti turn to, 0
1546013491.324851460, 0, v
1546013493.264425095, user press, v
1546013494.892568817, Reeti standby
1546013495.089234754, exp1 d mode
1546013495.092434911, face tracking, on
1546013497.096068743, reeti turn to, 1
1546013497.096195688, 0, u
1546013498.622539731, user press, u
1546013499.988214500, Reeti standby
1546013500.263249127, exp1 d mode
1546013500.265936239, face tracking, on
1546013502.269348802, reeti turn to, 1
1546013502.269395017, 1, u
1546013503.826301215, user press, u
1546013505.500834440, Reeti standby
1546013505.775506597, exp1 d mode
1546013505.779600831, face tracking, on
1546013507.782901213, reeti turn to, 1
1546013507.782931782, 0, v
1546013509.621186153, user press, v
1546013511.159262839, Reeti standby
1546013511.415941220, exp1 d mode
1546013511.423096251, face tracking, on
1546013513.426126891, reeti turn to, 1
1546013513.426167290, 1, u
1546013515.033977315, user press, u
1546013516.713573926, Reeti standby
1546013516.957577659, exp1 d mode
1546013516.960382846, face tracking, on
1546013518.963685872, reeti turn to, 0
1546013518.963745290, 1, v
1546013520.898606888, user press, v
1546013522.424702884, Reeti standby
1546013522.622469619, exp1 d mode
1546013522.625828390, face tracking, on
1546013524.629260185, reeti turn to, 1
1546013524.629308024, 0, u
1546013526.248556580, user press, u
1546013527.778590068, Reeti standby
1546013527.983054505, exp1 d mode
1546013527.985636925, face tracking, on
1546013529.988467506, reeti turn to, 0
1546013529.988494555, 0, u
1546013531.678173484, user press, u
1546013533.120473347, Reeti standby
1546013533.316799676, exp1 d mode
1546013533.320302417, face tracking, on
1546013535.323518214, reeti turn to, 0
1546013535.323566655, 0, u
1546013536.845000719, user press, u
1546013538.298341594, Reeti standby
1546013538.510277312, exp1 d mode
1546013538.514106419, face tracking, on
1546013540.517176975, reeti turn to, 1
1546013540.517220293, 1, v
1546013542.148663055, user press, v
1546013543.489639643, Reeti standby
1546013543.772911744, exp1 d mode
1546013543.776904989, face tracking, on
1546013545.780219842, reeti turn to, 1
1546013545.780274171, 1, v
1546013547.374050526, user press, v
1546013548.950757189, Reeti standby
1546013549.187772896, exp1 d mode
1546013549.191114039, face tracking, on
1546013551.194197361, reeti turn to, 1
1546013551.194269041, 0, u
1546013552.902988844, user press, u
1546013554.552276531, Reeti standby
1546013554.815535134, exp1 d mode
1546013554.818763137, face tracking, on
1546013556.822582128, reeti turn to, 1
1546013556.822619734, 0, u
1546013558.479432901, user press, u
1546013560.054707021, Reeti takes a break
1546013803.382991694, Reeti standby
1546013804.944573627, exp1 f mode
1546013804.944628846, face tracking, off
1546013806.947510660, reeti turn to, 1
1546013806.947556355, 1, v
1546013808.709005421, user press, v
1546013810.890378332, exp1 f mode
1546013810.890416455, face tracking, off
1546013812.893547047, reeti turn to, 1
1546013812.893582199, 1, u
1546013814.509483257, user press, u
1546013816.231991096, exp1 f mode
1546013816.232021520, face tracking, off
1546013818.239092477, reeti turn to, 0
1546013818.239162504, 0, u
1546013819.965837153, user press, u
1546013821.814965451, exp1 f mode
1546013821.815021938, face tracking, off
1546013823.818570067, reeti turn to, 1
1546013823.818660095, 0, v
1546013825.518401767, user press, v
1546013827.502541493, exp1 f mode
1546013827.502579154, face tracking, off
1546013829.505207251, reeti turn to, 1
1546013829.505232592, 1, v
1546013831.230775968, user press, v
