;; This buffer is for text that is not saved, and for Lisp evaluation.
;; To create a file, visit it with C-x C-f and enter text in its buffer.

process[parser_server-1, started with pid3016]
process[blank_image-2, started with pid3017]
process[left_monitor-3, started with pid3023]
process[right_monitor-4, started with pid3037]
process[face_tracking-5, started with pid3044]
1545793606.086537376, user press, u
1545793607.600922556, exp1 d mode
1545793607.606120510, face tracking, on
1545793609.609810590, reeti turn to, 1
1545793609.609876327, 1, v
1545793611.712373352, user press, v
1545793613.254097312, exp1 d mode
1545793613.256726091, face tracking, on
1545793615.260025911, reeti turn to, 1
1545793615.260098233, 1, v
1545793617.506346002, user press, v
1545793619.069931465, Reeti takes a break
1545793647.042121917, exp1 f mode
1545793647.042162510, face tracking, off
1545793649.049195720, reeti turn to, 0
1545793649.049252249, 0, v
1545793651.420394945, user press, v
1545793653.454908406, exp1 f mode
1545793653.454996065, face tracking, off
1545793655.458170873, reeti turn to, 1
1545793655.458208767, 0, v
1545793657.847028553, user press, v
1545793659.799679904, exp1 f mode
1545793659.799725043, face tracking, off
1545793661.802444112, reeti turn to, 0
1545793661.802529486, 0, v
1545793663.962442465, user press, v
1545793665.906629044, exp1 f mode
1545793665.906701403, face tracking, off
1545793667.913649032, reeti turn to, 1
1545793667.913687357, 1, v
1545793670.281651164, user press, v
1545793672.048549110, exp1 f mode
1545793672.048582448, face tracking, off
1545793674.051496597, reeti turn to, 1
1545793674.051543280, 0, u
1545793676.282206967, user press, u
1545793678.106178585, exp1 f mode
1545793678.106238939, face tracking, off
1545793680.111563111, reeti turn to, 0
1545793680.111698439, 1, v
1545793682.377619078, user press, v
1545793683.947115424, exp1 f mode
1545793683.947148816, face tracking, off
1545793685.950369611, reeti turn to, 0
1545793685.950404677, 1, u
1545793688.266042142, user press, u
1545793689.800481753, exp1 f mode
1545793689.800516021, face tracking, off
1545793691.803516521, reeti turn to, 1
1545793691.803592553, 1, v
1545793694.074857968, user press, v
1545793695.657531523, exp1 f mode
1545793695.657564440, face tracking, off
1545793697.664268515, reeti turn to, 0
1545793697.664336588, 1, u
1545793699.989036362, user press, u
1545793702.137317436, exp1 f mode
1545793702.137420443, face tracking, off
1545793704.144758109, reeti turn to, 1
1545793704.144815213, 0, v
1545793706.564646014, user press, v
1545793708.234187203, Reeti takes a break
1545793718.663043186, Reeti standby
1545793720.089262199, exp1 f mode
1545793720.089323781, face tracking, off
1545793722.097136715, reeti turn to, 1
1545793722.097189426, 1, v
1545793724.422801129, user press, v
1545793726.684548108, exp1 f mode
1545793726.684664049, face tracking, off
1545793728.688029263, reeti turn to, 1
1545793728.688119846, 1, u
1545793730.848832227, user press, u
1545793733.074529094, exp1 f mode
1545793733.074554665, face tracking, off
1545793735.077626265, reeti turn to, 1
1545793735.077663173, 1, u
1545793737.328510012, user press, u
1545793738.868969593, exp1 f mode
1545793738.869005718, face tracking, off
1545793740.873396191, reeti turn to, 1
1545793740.873454272, 1, u
1545793743.287746483, user press, u
1545793744.995554409, exp1 f mode
1545793744.995587998, face tracking, off
1545793746.998548025, reeti turn to, 0
1545793746.998621837, 0, u
1545793749.337011384, user press, u
1545793750.914941113, exp1 f mode
1545793750.915040286, face tracking, off
1545793752.917651692, reeti turn to, 0
1545793752.917695181, 0, v
1545793755.107192990, user press, v
1545793756.588494209, exp1 f mode
1545793756.588554748, face tracking, off
1545793758.595585500, reeti turn to, 1
1545793758.595628141, 1, u
1545793760.975056655, user press, u
1545793762.825102469, exp1 f mode
1545793762.825129438, face tracking, off
1545793764.828154095, reeti turn to, 0
1545793764.828198245, 0, u
1545793767.035042663, user press, u
1545793768.674964673, exp1 f mode
1545793768.674987858, face tracking, off
1545793770.677536607, reeti turn to, 0
1545793770.677572035, 1, u
1545793772.951842134, user press, u
1545793774.610086615, exp1 f mode
1545793774.610192777, face tracking, off
1545793776.613296291, reeti turn to, 1
1545793776.613329645, 0, u
1545793778.862678274, user press, u
1545793781.195778762, Reeti takes a break
1545793788.791568251, Reeti standby
1545793791.684151936, exp1 f mode
1545793791.684190951, face tracking, off
1545793793.691663501, reeti turn to, 0
1545793793.691725919, 0, u
1545793796.021439800, user press, u
1545793798.520807517, exp1 f mode
1545793798.520836730, face tracking, off
1545793800.524173833, reeti turn to, 0
1545793800.524291158, 1, v
1545793802.803155031, user press, v
1545793805.028328123, exp1 f mode
1545793805.028401140, face tracking, off
1545793807.035379521, reeti turn to, 0
1545793807.035413279, 0, v
1545793809.265075170, user press, v
1545793812.470747673, exp1 f mode
1545793812.470808039, face tracking, off
1545793814.474314013, reeti turn to, 1
1545793814.474347009, 0, v
1545793816.666236579, user press, v
1545793818.286652075, exp1 f mode
1545793818.286700681, face tracking, off
1545793820.291382408, reeti turn to, 1
1545793820.291409737, 1, u
1545793822.474429504, user press, u
1545793823.901546844, exp1 f mode
1545793823.901681564, face tracking, off
1545793825.904468511, reeti turn to, 0
1545793825.904502110, 1, v
1545793828.192152981, user press, v
1545793830.351549390, exp1 f mode
1545793830.351576775, face tracking, off
1545793832.356482064, reeti turn to, 0
1545793832.356519165, 0, u
1545793834.574989175, user press, u
