1545340090.215571787, face tracking, on
1545340092.217890019, reeti turn to, 0
1545340092.217912533, 0, v
1545340094.144521131, user press, v
1545340095.499846963, face tracking, on
1545340097.502375743, reeti turn to, 0
1545340097.502409803, 1, u
1545340099.642519479, user press, u
1545340101.029659200, face tracking, on
1545340103.032448959, reeti turn to, 0
1545340103.032474767, 0, v
1545340105.158030953, user press, v
1545340106.618777857, face tracking, on
1545340108.621335562, reeti turn to, 0
1545340108.621376742, 0, u
1545340110.694425877, user press, u
1545340122.344596077, face tracking, on
1545340124.346875512, reeti turn to, 1
1545340124.346932111, 0, v
1545340126.471137720, user press, v
1545340128.268553671, face tracking, on
1545340130.271746471, reeti turn to, 1
1545340130.271785472, 1, v
1545340132.254078808, user press, v
1545340133.960431695, face tracking, on
1545340135.963035655, reeti turn to, 0
1545340135.963064613, 0, u
1545340138.040895969, user press, u
1545340139.540924506, face tracking, on
1545340141.543591655, reeti turn to, 1
1545340141.543627256, 0, u
1545340143.639912101, user press, u
1545340145.214934430, face tracking, on
1545340147.217201417, reeti turn to, 1
1545340147.217233676, 1, u
1545340149.291960536, user press, u
1545340151.013578605, face tracking, on
1545340153.015839696, reeti turn to, 1
1545340153.015868037, 0, u
1545340155.097688865, user press, u
1545340156.535527359, face tracking, on
1545340158.538092855, reeti turn to, 1
1545340158.538116951, 0, v
1545340160.547598554, user press, v
1545340162.050880610, face tracking, on
1545340164.054115765, reeti turn to, 0
1545340164.054159538, 0, u
1545340166.049752271, user press, u
1545340167.634692789, face tracking, on
1545340169.636941021, reeti turn to, 0
1545340169.636969655, 1, v
1545340171.687779271, user press, v
1545340173.312267449, face tracking, on
1545340175.314993545, reeti turn to, 0
1545340175.315029661, 0, v
1545340177.210881529, user press, v


